player_name,position,goals,assists,shots,xG,xA,time,h_team,a_team,h_goals,a_goals,key_passes
Junior Stanislas 463,ML,0,0,2,0.085664302110672,0.4897629916667938,72,West Bromwich Albion,Bournemouth,1,2,3
Matt Ritchie 461,MR,0,0,3,0.43367999792099,0.0,90,West Bromwich Albion,Bournemouth,1,2,0
James McArthur 633,MC,0,0,2,0.5117359757423401,0.0,90,Stoke,Crystal Palace,1,2,0
Wilfried Zaha 522,MR,0,0,0,0.0,0.0655315965414047,82,Stoke,Crystal Palace,1,2,1
Marc Albrighton 753,ML,0,0,0,0.0,0.1858420073986053,74,Everton,Leicester,2,3,3
N&#039;Golo Kanté 751,MC,0,0,0,0.0,0.0,90,Everton,Leicester,2,3,0
Riyad Mahrez 750,MR,2,0,2,1.5223400592803955,0.0,86,Everton,Leicester,2,3,0
Nathan Redmond 790,MR,0,1,0,0.0,0.1842969954013824,90,Manchester United,Norwich,1,2,1
Idrissa Gueye 668,MC,0,0,1,0.0150774996727705,0.0251311007887125,90,Newcastle United,Aston Villa,1,1,1
Jordan Henderson 605,MC,0,0,2,0.0696033984422683,0.0730810984969139,90,Watford,Liverpool,3,0,3
Cheikhou Kouyaté 532,MC,0,0,0,0.0,0.0233121998608112,90,Swansea,West Ham,0,0,1
Michail Antonio 531,MR,0,0,1,0.0174563992768526,0.0,86,Swansea,West Ham,0,0,0
Kevin De Bruyne 447,MR,0,0,3,0.1198519989848136,0.2866170108318329,90,Arsenal,Manchester City,2,1,5
Idrissa Gueye 668,MC,0,0,0,0.0,0.0154758999124169,90,Aston Villa,West Ham,1,1,1
James McArthur 633,MC,0,0,1,0.0174304991960525,0.0,90,Bournemouth,Crystal Palace,0,0,0
Junior Stanislas 463,ML,0,0,2,0.0874644964933395,0.3536889851093292,90,Bournemouth,Crystal Palace,0,0,2
Matt Ritchie 461,MR,0,0,0,0.0,0.0423851981759071,90,Bournemouth,Crystal Palace,0,0,1
Wilfried Zaha 522,MR,0,0,0,0.0,0.1395110040903091,90,Bournemouth,Crystal Palace,0,0,1
Marc Albrighton 753,ML,0,0,0,0.0,0.0839520990848541,90,Liverpool,Leicester,1,0,2
N&#039;Golo Kanté 751,MC,0,0,0,0.0,0.1743919998407364,90,Liverpool,Leicester,1,0,2
Riyad Mahrez 750,MR,0,0,1,0.0705375000834465,0.0,82,Liverpool,Leicester,1,0,0
Jack Colback 767,MC,0,0,1,0.0230778008699417,0.5686410069465637,90,Newcastle United,Everton,0,1,1
Jack Colback 767,MC,0,0,0,0.0,0.0,88,West Bromwich Albion,Newcastle United,1,0,0
Kieran Trippier 652,MR,0,1,1,0.0156578999012708,0.2359949946403503,90,Watford,Tottenham,1,2,2
Nathan Redmond 790,ML,0,0,2,0.0660915970802307,0.0638310015201568,90,Norwich,Aston Villa,2,0,1
Jonjo Shelvey 769,MC,0,0,0,0.0,0.0,57,Crystal Palace,Swansea,0,0,0
Matt Ritchie 461,MR,0,0,1,0.0117499995976686,0.0168159995228052,90,Arsenal,Bournemouth,2,0,1
Cheikhou Kouyaté 532,MC,0,0,1,0.0206859000027179,0.0,90,West Ham,Southampton,2,1,0
Marc Albrighton 753,ML,0,0,2,0.4005460143089294,0.0,90,Leicester,Manchester City,0,0,0
N&#039;Golo Kanté 751,MC,0,0,1,0.0215003993362188,0.0,90,Leicester,Manchester City,0,0,0
Riyad Mahrez 750,MR,0,0,1,0.0257747992873191,0.1452669948339462,90,Leicester,Manchester City,0,0,3
Cheikhou Kouyaté 532,MC,0,0,1,0.1397320032119751,0.0,90,West Ham,Liverpool,2,0,0
Manuel Lanzini 535,ML,0,0,1,0.0153954001143574,0.0,38,West Ham,Liverpool,2,0,0
Michail Antonio 531,MR,1,0,5,1.1584299802780151,0.1960999965667724,90,West Ham,Liverpool,2,0,3
Jack Colback 767,MC,0,0,2,0.1090859994292259,0.0,80,Arsenal,Newcastle United,1,0,0
Junior Stanislas 463,ML,0,0,3,0.1913689970970153,0.5552530288696289,90,Leicester,Bournemouth,0,0,2
Marc Albrighton 753,ML,0,0,0,0.0,0.0705246031284332,66,Leicester,Bournemouth,0,0,2
Matt Ritchie 461,MR,0,0,0,0.0,0.1784819960594177,90,Leicester,Bournemouth,0,0,2
N&#039;Golo Kanté 751,MC,0,0,4,0.1729329973459243,0.0193978007882833,90,Leicester,Bournemouth,0,0,1
Riyad Mahrez 750,MR,0,0,3,0.8070210218429565,0.1545059978961944,90,Leicester,Bournemouth,0,0,3
Nathan Redmond 790,MR,0,0,0,0.0,0.0,64,Norwich,Southampton,1,0,0
Idrissa Gueye 668,MC,0,0,0,0.0,0.0,90,Sunderland,Aston Villa,3,1,0
Idrissa Gueye 668,MC,0,0,1,0.0185889992862939,0.0165810994803905,90,Aston Villa,Crystal Palace,1,0,1
Junior Stanislas 463,ML,0,0,1,0.0277731996029615,0.0,90,Bournemouth,West Ham,1,3,1
Matt Ritchie 461,MR,0,0,0,0.0,0.0,52,Bournemouth,West Ham,1,3,0
Kevin De Bruyne 447,ML,0,0,2,0.1437129974365234,0.3490619957447052,74,Manchester City,Everton,0,0,6
James Milner 489,MC,0,1,1,0.0337918996810913,0.0781366974115371,69,Liverpool,Arsenal,3,3,3
